Variable Name,Question text,Survey Question ID
startdate,Start Date,"{""ImportId"":""startDate""}"
enddate,End Date,"{""ImportId"":""endDate""}"
status,Response Type,"{""ImportId"":""status""}"
progress,Progress,"{""ImportId"":""progress""}"
duration (in seconds),Duration (in seconds),"{""ImportId"":""duration""}"
finished,Finished,"{""ImportId"":""finished""}"
recordeddate,Recorded Date,"{""ImportId"":""recordedDate""}"
responseid,Response ID,"{""ImportId"":""_recordId""}"
recipientlastname,Recipient Last Name,"{""ImportId"":""recipientLastName""}"
recipientfirstname,Recipient First Name,"{""ImportId"":""recipientFirstName""}"
recipientemail,Recipient Email,"{""ImportId"":""recipientEmail""}"
externalreference,External Data Reference,"{""ImportId"":""externalDataReference""}"
distributionchannel,Distribution Channel,"{""ImportId"":""distributionChannel""}"
informedconsent,Do you wish to continue with the survey?,"{""ImportId"":""QID96""}"
moa1#1_1,Financially independent,"{""ImportId"":""QID1#1_1""}"
moa1#1_2,No longer living in parents' household,"{""ImportId"":""QID1#1_2""}"
moa1#1_3,Finished with education,"{""ImportId"":""QID1#1_3""}"
moa1#1_4,Married,"{""ImportId"":""QID1#1_4""}"
moa1#1_5,Have at least one child,"{""ImportId"":""QID1#1_5""}"
moa1#1_6,Settled into a long-term career,"{""ImportId"":""QID1#1_6""}"
moa1#1_7,Avoid becoming drunk,"{""ImportId"":""QID1#1_7""}"
moa1#1_8,Avoid illegal drugs,"{""ImportId"":""QID1#1_8""}"
moa1#1_9,Use contraception if sexually active and not trying to conceive a child,"{""ImportId"":""QID1#1_9""}"
moa1#1_10,Committed to long-term love relationship,"{""ImportId"":""QID1#1_10""}"
moa1#2_1,Financially independent,"{""ImportId"":""QID1#2_1""}"
moa1#2_2,No longer living in parents' household,"{""ImportId"":""QID1#2_2""}"
moa1#2_3,Finished with education,"{""ImportId"":""QID1#2_3""}"
moa1#2_4,Married,"{""ImportId"":""QID1#2_4""}"
moa1#2_5,Have at least one child,"{""ImportId"":""QID1#2_5""}"
moa1#2_6,Settled into a long-term career,"{""ImportId"":""QID1#2_6""}"
moa1#2_7,Avoid becoming drunk,"{""ImportId"":""QID1#2_7""}"
moa1#2_8,Avoid illegal drugs,"{""ImportId"":""QID1#2_8""}"
moa1#2_9,Use contraception if sexually active and not trying to conceive a child,"{""ImportId"":""QID1#2_9""}"
moa1#2_10,Committed to long-term love relationship,"{""ImportId"":""QID1#2_10""}"
moa2#1_1,Make independent decisions,"{""ImportId"":""QID2#1_1""}"
moa2#1_2,Become capable of supporting a family financially,"{""ImportId"":""QID2#1_2""}"
moa2#1_3,Become capable of caring for children,"{""ImportId"":""QID2#1_3""}"
moa2#1_4,Accept responsibility for your actions,"{""ImportId"":""QID2#1_4""}"
moa2#1_5,Be employed full-time,"{""ImportId"":""QID2#1_5""}"
moa2#1_6,Avoid drunk driving,"{""ImportId"":""QID2#1_6""}"
moa2#1_7,Establish a relationship with parents as an equal adult,"{""ImportId"":""QID2#1_7""}"
moa2#1_8,Learn always to have good control of your emotions,"{""ImportId"":""QID2#1_8""}"
moa2#1_9,"Become less self-oriented, develop greater consideration for others","{""ImportId"":""QID2#1_9""}"
moa2#1_10,Capable of supporting parents financially,"{""ImportId"":""QID2#1_10""}"
moa2#2_1,Make independent decisions,"{""ImportId"":""QID2#2_1""}"
moa2#2_2,Become capable of supporting a family financially,"{""ImportId"":""QID2#2_2""}"
moa2#2_3,Become capable of caring for children,"{""ImportId"":""QID2#2_3""}"
moa2#2_4,Accept responsibility for your actions,"{""ImportId"":""QID2#2_4""}"
moa2#2_5,Be employed full-time,"{""ImportId"":""QID2#2_5""}"
moa2#2_6,Avoid drunk driving,"{""ImportId"":""QID2#2_6""}"
moa2#2_7,Establish a relationship with parents as an equal adult,"{""ImportId"":""QID2#2_7""}"
moa2#2_8,Learn always to have good control of your emotions,"{""ImportId"":""QID2#2_8""}"
moa2#2_9,"Become less self-oriented, develop greater consideration for others","{""ImportId"":""QID2#2_9""}"
moa2#2_10,Capable of supporting parents financially,"{""ImportId"":""QID2#2_10""}"
moa_adult,Are you an adult?,"{""ImportId"":""QID97""}"
moa_imp_biascheck,sum of MOA Importance Items,ADDED
moa_ach_biascheck,sum of MOA Achievement items,ADDED
moa_imp_dummy,"response bias coded, 1 = all same answer",ADDED
moa-ach_dummy,"response bias coded, 1 = all same answer",ADDED
q65_first click,Timing - First Click,"{""ImportId"":""QID65_FIRST_CLICK""}"
q65_last click,Timing - Last Click,"{""ImportId"":""QID65_LAST_CLICK""}"
q65_page submit,Timing - Page Submit,"{""ImportId"":""QID65_PAGE_SUBMIT""}"
q65_click count,Timing - Click Count,"{""ImportId"":""QID65_CLICK_COUNT""}"
idea_1,Is this period of your life a time of many possibilities?,"{""ImportId"":""QID17_1""}"
idea_2,Is this period of your life a time of exploration?,"{""ImportId"":""QID17_2""}"
idea_3,Is this period of your life a time of feeling stressed out?,"{""ImportId"":""QID17_3""}"
idea_4,Is this period of your life a time of high pressure?,"{""ImportId"":""QID17_4""}"
idea_5,Is this period of your life a time of defining yourself?,"{""ImportId"":""QID17_5""}"
idea_6,Is this period of your life a time of deciding your own beliefs and values?,"{""ImportId"":""QID17_6""}"
idea_7,Is this period of your life a time of feeling adult in some ways but not others?,"{""ImportId"":""QID17_7""}"
idea_8,Is this period of your life a time of gradually becoming an adult?,"{""ImportId"":""QID17_8""}"
idea-biascheck,sum of IDEA-8 items,ADDED
idea-bias-dummy,"response bias coded, 1 = all same answer",ADDED
q66_first click,Timing - First Click,"{""ImportId"":""QID66_FIRST_CLICK""}"
q66_last click,Timing - Last Click,"{""ImportId"":""QID66_LAST_CLICK""}"
q66_page submit,Timing - Page Submit,"{""ImportId"":""QID66_PAGE_SUBMIT""}"
q66_click count,Timing - Click Count,"{""ImportId"":""QID66_CLICK_COUNT""}"
politics,Please select which of the following best describes how you would label your political views.,"{""ImportId"":""QID29""}"
party,Please select which of the following best describes your party identification.,"{""ImportId"":""QID30""}"
president,"In the coming election, which candidate do you most support to be the next president of the United States?","{""ImportId"":""QID64_TEXT""}"
q74_first click,Timing - First Click,"{""ImportId"":""QID74_FIRST_CLICK""}"
q74_last click,Timing - Last Click,"{""ImportId"":""QID74_LAST_CLICK""}"
q74_page submit,Timing - Page Submit,"{""ImportId"":""QID74_PAGE_SUBMIT""}"
q74_click count,Timing - Click Count,"{""ImportId"":""QID74_CLICK_COUNT""}"
swb_1,In most ways my life is close to my ideal.,"{""ImportId"":""QID24_1""}"
swb_2,The conditions of my life are excellent.,"{""ImportId"":""QID24_2""}"
swb_3,I am satisfied with my life.,"{""ImportId"":""QID24_3""}"
swb_4,So far I have gotten the important things I want in life.,"{""ImportId"":""QID24_4""}"
swb_5,"If I could live my life over, I would change almost nothing.","{""ImportId"":""QID24_5""}"
swb_6,I have high self-esteem.,"{""ImportId"":""QID24_6""}"
q67_first click,Timing - First Click,"{""ImportId"":""QID67_FIRST_CLICK""}"
q67_last click,Timing - Last Click,"{""ImportId"":""QID67_LAST_CLICK""}"
q67_page submit,Timing - Page Submit,"{""ImportId"":""QID67_PAGE_SUBMIT""}"
q67_click count,Timing - Click Count,"{""ImportId"":""QID67_CLICK_COUNT""}"
mindful_1,I could be experiencing some emotion and not be conscious of it until some time later.,"{""ImportId"":""QID26_1""}"
mindful_2,"I break or spill things because of carelessness, not paying attention, or thinking of something else.","{""ImportId"":""QID26_2""}"
mindful_3,I find it difficult to stay focused on whatâ€™s happening in the present.,"{""ImportId"":""QID26_3""}"
mindful_4,I tend to walk quickly to get where Iâ€™m going without paying attention to what I experience along the way.,"{""ImportId"":""QID26_4""}"
mindful_5,I tend not to notice feelings of physical tension or discomfort until they really grab my attention.,"{""ImportId"":""QID26_5""}"
mindful_6,I forget a personâ€™s name almost as soon as Iâ€™ve been told it for the first time.,"{""ImportId"":""QID26_6""}"
mindful_7,"It seems I am â€œrunning on automatic,â€ without much awareness of what Iâ€™m doing.","{""ImportId"":""QID26_7""}"
mindful_8,I rush through activities without being really attentive to them.,"{""ImportId"":""QID26_8""}"
mindful_9,I get so focused on the goal I want to achieve that I lose touch with what Iâ€™m doing right now to get there.,"{""ImportId"":""QID26_9""}"
mindful_10,"I do jobs or tasks automatically, without being aware of what I'm doing.","{""ImportId"":""QID26_10""}"
mindful_11,"I find myself listening to someone with one ear, doing something else at the same time.","{""ImportId"":""QID26_11""}"
mindful_12,I drive places on â€˜automatic pilotâ€™ and then wonder why I went there.,"{""ImportId"":""QID26_12""}"
mindful_13,I find myself preoccupied with the future or the past.,"{""ImportId"":""QID26_13""}"
mindful_14,I find myself doing things without paying attention.,"{""ImportId"":""QID26_14""}"
mindful_15,I snack without being aware that Iâ€™m eating.,"{""ImportId"":""QID26_15""}"
mindful_biascheck,SUM of Mindfulness Items,ADDED
mindful_bias_dummy,"response bias coded, 1 = all same answer",ADDED
q68_first click,Timing - First Click,"{""ImportId"":""QID68_FIRST_CLICK""}"
q68_last click,Timing - Last Click,"{""ImportId"":""QID68_LAST_CLICK""}"
q68_page submit,Timing - Page Submit,"{""ImportId"":""QID68_PAGE_SUBMIT""}"
q68_click count,Timing - Click Count,"{""ImportId"":""QID68_CLICK_COUNT""}"
belong_1,"If other people don't seem to accept me, I don't let it bother me.","{""ImportId"":""QID16_1""}"
belong_2,I try hard not to do things that will make other people avoid or reject me.,"{""ImportId"":""QID16_2""}"
belong_3,I seldom worry about whether other people care about me.,"{""ImportId"":""QID16_3""}"
belong_4,I need to feel that there are people I can turn to in times of need.,"{""ImportId"":""QID16_4""}"
belong_5,I want other people to accept me.,"{""ImportId"":""QID16_5""}"
belong_6,I do not like being alone.,"{""ImportId"":""QID16_6""}"
belong_7,Being apart from my friends for long periods of time does not bother me.,"{""ImportId"":""QID16_7""}"
belong_8,I have a strong need to belong.,"{""ImportId"":""QID16_8""}"
belong_9,It bothers me a great deal when I am not included in other people's plans.,"{""ImportId"":""QID16_9""}"
belong_10,My feelings are easily hurt when I feel that others do not accept me.,"{""ImportId"":""QID16_10""}"
belong_now,I feel like I belong.,"{""ImportId"":""QID83""}"
belong_biascheck,SUM of Belongingness Items,ADDED
belong_bias_dummy,"response bias coded, 1 = all same answer",ADDED
q72_first click,Timing - First Click,"{""ImportId"":""QID72_FIRST_CLICK""}"
q72_last click,Timing - Last Click,"{""ImportId"":""QID72_LAST_CLICK""}"
q72_page submit,Timing - Page Submit,"{""ImportId"":""QID72_PAGE_SUBMIT""}"
q72_click count,Timing - Click Count,"{""ImportId"":""QID72_CLICK_COUNT""}"
efficacy_1,I can always manage to solve difficult problems if I try hard enough.,"{""ImportId"":""QID53_1""}"
efficacy_2,"If someone opposes me, I can find the means and ways to get what I want.","{""ImportId"":""QID53_2""}"
efficacy_3,It is easy for me to stick to my aims and accomplish my goals.,"{""ImportId"":""QID53_3""}"
efficacy_4,I am confident that I could deal efficiently with unexpected events.,"{""ImportId"":""QID53_4""}"
efficacy_5,"Thanks to my resourcefulness, I know how to handle unforeseen situations.","{""ImportId"":""QID53_5""}"
efficacy_6,I can solve most problems if I invest the necessary effort.,"{""ImportId"":""QID53_6""}"
efficacy_7,I can remain calm when facing difficulties because I can rely on my coping abilities.,"{""ImportId"":""QID53_7""}"
efficacy_8,"When I am confronted with a problem, I can usually find several solutions.","{""ImportId"":""QID53_8""}"
efficacy_9,"If I am in trouble, I can usually think of a solution.","{""ImportId"":""QID53_9""}"
efficacy_10,I can usually handle whatever comes my way.,"{""ImportId"":""QID53_10""}"
efficacy_biascheck,SUM of  Efficacy Items,ADDED
efficacy_bias_dummy,"response bias coded, 1 = all same answer",ADDED
q77_first click,Timing - First Click,"{""ImportId"":""QID77_FIRST_CLICK""}"
q77_last click,Timing - Last Click,"{""ImportId"":""QID77_LAST_CLICK""}"
q77_page submit,Timing - Page Submit,"{""ImportId"":""QID77_PAGE_SUBMIT""}"
q77_click count,Timing - Click Count,"{""ImportId"":""QID77_CLICK_COUNT""}"
support_1,There is a special person who is around when I am in need.,"{""ImportId"":""QID92_1""}"
support_2,There is a special person with whom I can share my joys and sorrows.,"{""ImportId"":""QID92_2""}"
support_3,My family really tries to help me.,"{""ImportId"":""QID92_3""}"
support_4,I get the emotional help and support I need from my family.,"{""ImportId"":""QID92_4""}"
support_5,I have a special person who is a real source of comfort to me.,"{""ImportId"":""QID92_5""}"
support_6,My friends really try to help me.,"{""ImportId"":""QID92_6""}"
support_7,I can count on my friends when things go wrong.,"{""ImportId"":""QID92_7""}"
support_8,I can talk about my problems with my family.,"{""ImportId"":""QID92_8""}"
support_9,I have friends with whom I can share my joys and sorrows.,"{""ImportId"":""QID92_9""}"
support_10,There is a special person in my life who cares about my feelings.,"{""ImportId"":""QID92_10""}"
support_11,My family is willing to help me make decisions.,"{""ImportId"":""QID92_11""}"
support_12,I can talk about my problems with my friends.,"{""ImportId"":""QID92_12""}"
support_biascheck,SUM of  Support  Items,ADDED
support_bias_dummy,"response bias coded, 1 = all same answer",ADDED
q96_first click,Timing - First Click,"{""ImportId"":""QID94_FIRST_CLICK""}"
q96_last click,Timing - Last Click,"{""ImportId"":""QID94_LAST_CLICK""}"
q96_page submit,Timing - Page Submit,"{""ImportId"":""QID94_PAGE_SUBMIT""}"
q96_click count,Timing - Click Count,"{""ImportId"":""QID94_CLICK_COUNT""}"
socmedia_1,Avoid drifting apart from the people I know,"{""ImportId"":""QID63_1""}"
socmedia_2,Find out what my friends are planning to do tonight or this weekend,"{""ImportId"":""QID63_2""}"
socmedia_3,Keep in touch with friends,"{""ImportId"":""QID63_3""}"
socmedia_4,Let friends know what Iâ€™ve been up to,"{""ImportId"":""QID63_4""}"
socmedia_5,Reconnect with people I used to know,"{""ImportId"":""QID63_5""}"
socmedia_6,Find out more about someone Iâ€™ve just met,"{""ImportId"":""QID63_6""}"
socmedia_7,Check out someone I might want to know better,"{""ImportId"":""QID63_7""}"
socmedia_8,Make new friends,"{""ImportId"":""QID63_8""}"
socmedia_9,Get in touch with someone I met at social events,"{""ImportId"":""QID63_9""}"
socmedia_10,Get different kinds of information,"{""ImportId"":""QID63_10""}"
socmedia_11,Share different kinds of information,"{""ImportId"":""QID63_11""}"
socmedia_biascheck,SUM of  SocMedia  Items,ADDED
socmedia_bias_dummy,"response bias coded, 1 = all same answer",ADDED
q80_first click,Timing - First Click,"{""ImportId"":""QID80_FIRST_CLICK""}"
q80_last click,Timing - Last Click,"{""ImportId"":""QID80_LAST_CLICK""}"
q80_page submit,Timing - Page Submit,"{""ImportId"":""QID80_PAGE_SUBMIT""}"
q80_click count,Timing - Click Count,"{""ImportId"":""QID80_CLICK_COUNT""}"
usdream_1,Do you believe in the importance of achieving the American Dream?,"{""ImportId"":""QID18_1""}"
usdream_2,Do you believe you will be able to achieve the American Dream?,"{""ImportId"":""QID18_2""}"
usdream_3,Select 'Definitely not',"{""ImportId"":""QID18_3""}"
q73_first click,Timing - First Click,"{""ImportId"":""QID73_FIRST_CLICK""}"
q73_last click,Timing - Last Click,"{""ImportId"":""QID73_LAST_CLICK""}"
q73_page submit,Timing - Page Submit,"{""ImportId"":""QID73_PAGE_SUBMIT""}"
q73_click count,Timing - Click Count,"{""ImportId"":""QID73_CLICK_COUNT""}"
transgres_freq,"In the past two weeks (14 days), how often has someone gotten upset with you in response to something that you said or did?","{""ImportId"":""QID58""}"
transgres,"Think back to the MOST RECENT instance that someone became upset with you because of something you said or did, and then answer the following questions.
Describe what you said or did in 10 words or less:","{""ImportId"":""QID57_TEXT""}"
relation,"In this instance, what is your relationship to the other person involved? - Selected Choice","{""ImportId"":""QID59""}"
relation_10_text,other (Please specify) - Text,"{""ImportId"":""QID59_10_TEXT""}"
fault,Whose fault was it that this person became upset?,"{""ImportId"":""QID60""}"
feel,How did you feel when the person became upset with you? Check ALL that apply.,"{""ImportId"":""QID61""}"
transgres_common,How often does this type of incident happen in your life?,"{""ImportId"":""QID62""}"
attenion2,"To indicate that you are attending to this question, select the answer option 'constantly'","{""ImportId"":""QID104""}"
q78_first click,Timing - First Click,"{""ImportId"":""QID78_FIRST_CLICK""}"
q78_last click,Timing - Last Click,"{""ImportId"":""QID78_LAST_CLICK""}"
q78_page submit,Timing - Page Submit,"{""ImportId"":""QID78_PAGE_SUBMIT""}"
q78_click count,Timing - Click Count,"{""ImportId"":""QID78_CLICK_COUNT""}"
transgres_1,lied to you,"{""ImportId"":""QID51_1""}"
transgres_2,spread rumors or gossiped about you,"{""ImportId"":""QID51_2""}"
transgres_3,got even with you for something that happened previously,"{""ImportId"":""QID51_3""}"
transgres_4,degraded you in public,"{""ImportId"":""QID51_4""}"
q79_first click,Timing - First Click,"{""ImportId"":""QID79_FIRST_CLICK""}"
q79_last click,Timing - Last Click,"{""ImportId"":""QID79_LAST_CLICK""}"
q79_page submit,Timing - Page Submit,"{""ImportId"":""QID79_PAGE_SUBMIT""}"
q79_click count,Timing - Click Count,"{""ImportId"":""QID79_CLICK_COUNT""}"
npi1,NPI1,"{""ImportId"":""QID37""}"
npi2,NPI2,"{""ImportId"":""QID38""}"
npi3,NPI3,"{""ImportId"":""QID39""}"
npi4,NPI4,"{""ImportId"":""QID40""}"
npi5,NPI5,"{""ImportId"":""QID41""}"
npi6,NPI6,"{""ImportId"":""QID42""}"
npi7,NPI7,"{""ImportId"":""QID43""}"
npi8,NPI8,"{""ImportId"":""QID44""}"
npi9,NPI9,"{""ImportId"":""QID45""}"
npi10,NPI10,"{""ImportId"":""QID46""}"
npi11,NPI11,"{""ImportId"":""QID47""}"
npi12,NPI12,"{""ImportId"":""QID48""}"
npi13,NPI13,"{""ImportId"":""QID49""}"
exploit_1,It doesn't bother me to benefit at someone else's expense.,"{""ImportId"":""QID50_1""}"
exploit_2,I' perfectly willing to profit at the expense of others.,"{""ImportId"":""QID50_2""}"
exploit_3,Using other people doesn't bother me very much.,"{""ImportId"":""QID50_3""}"
npi_biascheck,SUM of  Narcisism Items,ADDED
npi_bias_dummy,"response bias coded, 1 = all same answer",ADDED
q76_first click,Timing - First Click,"{""ImportId"":""QID76_FIRST_CLICK""}"
q76_last click,Timing - Last Click,"{""ImportId"":""QID76_LAST_CLICK""}"
q76_page submit,Timing - Page Submit,"{""ImportId"":""QID76_PAGE_SUBMIT""}"
q76_click count,Timing - Click Count,"{""ImportId"":""QID76_CLICK_COUNT""}"
disability11,Do you identify as a person with a disability?,"{""ImportId"":""QID11""}"
disability14_1,Physical,"{""ImportId"":""QID14_1""}"
disability14_2,Sensory,"{""ImportId"":""QID14_2""}"
disability14_3,Learning,"{""ImportId"":""QID14_3""}"
disability14_4,Psychiatric,"{""ImportId"":""QID14_4""}"
disability14_5,Chronic Health,"{""ImportId"":""QID14_5""}"
disability14_6,Other. Please specify below.,"{""ImportId"":""QID14_6""}"
disability14_6_text,Other. Please specify below. - Text,"{""ImportId"":""QID14_6_TEXT""}"
disability10_1,My disability interferes with becoming successful.,"{""ImportId"":""QID10_1""}"
disability10_2,I don't think of myself as a disabled person.,"{""ImportId"":""QID10_2""}"
disability10_3,I lack confidence because of my disability.,"{""ImportId"":""QID10_3""}"
disability10_4,I am proud to be a disabled person.,"{""ImportId"":""QID10_4""}"
disability10_5,Sometimes I am ashamed to be disabled.,"{""ImportId"":""QID10_5""}"
disability10_6,Being disabled has not reduced my enjoyment of life.,"{""ImportId"":""QID10_6""}"
disability10_7,My friendships are limited by my disability.,"{""ImportId"":""QID10_7""}"
disability10_8,My disability is a source of personal strength.,"{""ImportId"":""QID10_8""}"
disability10_9,Without my disability I could accomplish more.,"{""ImportId"":""QID10_9""}"
disability10_10,Having a disability has not been a problem for me.,"{""ImportId"":""QID10_10""}"
disability10_11,I can live a normal life with my disability.,"{""ImportId"":""QID10_11""}"
disability10_12,I am a better person because of my disability.,"{""ImportId"":""QID10_12""}"
disability10_13,My disability is an important part of who I am.,"{""ImportId"":""QID10_13""}"
disability10_14,I am proud of my disability.,"{""ImportId"":""QID10_14""}"
disability10_15,My disability enriches my life.,"{""ImportId"":""QID10_15""}"
q71_first click,Timing - First Click,"{""ImportId"":""QID71_FIRST_CLICK""}"
q71_last click,Timing - Last Click,"{""ImportId"":""QID71_LAST_CLICK""}"
q71_page submit,Timing - Page Submit,"{""ImportId"":""QID71_PAGE_SUBMIT""}"
q71_click count,Timing - Click Count,"{""ImportId"":""QID71_CLICK_COUNT""}"
physsx_1,Stomach pain,"{""ImportId"":""QID8_1""}"
physsx_2,Back pain,"{""ImportId"":""QID8_2""}"
physsx_3,"Pain in your arms, legs, or joints (knees, hips, etc).","{""ImportId"":""QID8_3""}"
physsx_4,Headaches,"{""ImportId"":""QID8_4""}"
physsx_5,Chest pain,"{""ImportId"":""QID8_5""}"
physsx_6,Dizziness,"{""ImportId"":""QID8_6""}"
physsx_7,Fainting spells,"{""ImportId"":""QID8_7""}"
physsx_8,Feeling your heart pound or race,"{""ImportId"":""QID8_8""}"
physsx_9,Shortness of breath,"{""ImportId"":""QID8_9""}"
physsx_10,"Constipation, loose bowels, or diarrhea","{""ImportId"":""QID8_10""}"
physsx_11,"Nausea, gas, or indigestion","{""ImportId"":""QID8_11""}"
physsx_12,Feeling tired or having low energy,"{""ImportId"":""QID8_12""}"
physsx_13,Trouble sleeping,"{""ImportId"":""QID8_13""}"
physsx_biascheck,SUM of  PhysSx Items,ADDED
physsx_bias_dummy,"response bias coded, 1 = all same answer",ADDED
q70_first click,Timing - First Click,"{""ImportId"":""QID70_FIRST_CLICK""}"
q70_last click,Timing - Last Click,"{""ImportId"":""QID70_LAST_CLICK""}"
q70_page submit,Timing - Page Submit,"{""ImportId"":""QID70_PAGE_SUBMIT""}"
q70_click count,Timing - Click Count,"{""ImportId"":""QID70_CLICK_COUNT""}"
stress_1,...been upset because of something that happened unexpectedly?,"{""ImportId"":""QID9_1""}"
stress_2,...felt that you were unable to control the important things in your life?,"{""ImportId"":""QID9_2""}"
stress_3,"... felt nervous and ""stressed""?","{""ImportId"":""QID9_3""}"
stress_4,... felt confident about your ability to handle your personal problems?,"{""ImportId"":""QID9_4""}"
stress_5,... felt that things were going your way?,"{""ImportId"":""QID9_5""}"
stress_6,...found that you could not cope with all the things that you had to do?,"{""ImportId"":""QID9_6""}"
stress_7,... been able to control irritations in your life?,"{""ImportId"":""QID9_7""}"
stress_8,... felt that you were on top of things?,"{""ImportId"":""QID9_8""}"
stress_9,... been angered because of things that were outside of your control?,"{""ImportId"":""QID9_9""}"
stress_10,... felt difficulties were piling up so high that you could not overcome them?,"{""ImportId"":""QID9_10""}"
stress_biascheck,SUM of  Stress Items,ADDED
stress_bias_dummy,"response bias coded, 1 = all same answer",ADDED
q69_first click,Timing - First Click,"{""ImportId"":""QID69_FIRST_CLICK""}"
q69_last click,Timing - Last Click,"{""ImportId"":""QID69_LAST_CLICK""}"
q69_page submit,Timing - Page Submit,"{""ImportId"":""QID69_PAGE_SUBMIT""}"
q69_click count,Timing - Click Count,"{""ImportId"":""QID69_CLICK_COUNT""}"
marriage1_1,Marriage,"{""ImportId"":""QID31_1""}"
marriage1_2,Parenting,"{""ImportId"":""QID31_2""}"
marriage1_3,Career,"{""ImportId"":""QID31_3""}"
marriage1_4,Personal Leisure/ Hobbies,"{""ImportId"":""QID31_4""}"
marriage2,"In regard to my getting married someday, it is...","{""ImportId"":""QID32""}"
marriage3,"In my opinion, the ideal age for someone to get married is...","{""ImportId"":""QID33""}"
marriage4,"Marriage should be for life, even if the marriage is mediocre or unsatisfying.","{""ImportId"":""QID34""}"
marriage5,My biological parents (or parents who raised me most of my life)...,"{""ImportId"":""QID35""}"
q75_first click,Timing - First Click,"{""ImportId"":""QID75_FIRST_CLICK""}"
q75_last click,Timing - Last Click,"{""ImportId"":""QID75_LAST_CLICK""}"
q75_page submit,Timing - Page Submit,"{""ImportId"":""QID75_PAGE_SUBMIT""}"
q75_click count,Timing - Click Count,"{""ImportId"":""QID75_CLICK_COUNT""}"
school,"If you are currently attending a university or college, please enter your school name below:","{""ImportId"":""QID93_TEXT""}"
sex,What is your gender?,"{""ImportId"":""QID20""}"
demo_age,"What is your age? Please enter digits only (Enter ""22"" if you are 22 years old)","{""ImportId"":""QID105_TEXT""}"
edu,Which of the following choices best describes your educational level/attainment?,"{""ImportId"":""QID19""}"
sibling,Regarding my siblings that I lived with for at least some of my childhood (check all that apply--usually more than one will apply):,"{""ImportId"":""QID21""}"
race,What is your racial/ethnic group (check all the apply)? - Selected Choice,"{""ImportId"":""QID22""}"
race_6_text,Other - Text,"{""ImportId"":""QID22_6_TEXT""}"
demo_mil,"Do you now, or have you ever served in the armed services?","{""ImportId"":""QID101""}"
demo_mil_years,"If you serve(d) in the armed services, how many years did you serve?","{""ImportId"":""QID102_TEXT""}"
income,Please indicate your current household income in U.S. dollars,"{""ImportId"":""QID91""}"
demo_us,Do you reside in the United States?,"{""ImportId"":""QID89""}"
demo_us_years,How many years have you lived in the United States?,"{""ImportId"":""QID99_TEXT""}"
place,What state did you reside in during your childhood?,"{""ImportId"":""QID88""}"
q81,What country do you currently live in?,"{""ImportId"":""QID100_TEXT""}"
q81_first click,Timing - First Click,"{""ImportId"":""QID81_FIRST_CLICK""}"
q81_last click,Timing - Last Click,"{""ImportId"":""QID81_LAST_CLICK""}"
q81_page submit,Timing - Page Submit,"{""ImportId"":""QID81_PAGE_SUBMIT""}"
q81_click count,Timing - Click Count,"{""ImportId"":""QID81_CLICK_COUNT""}"
comments,"Do you have any questions, comments, or concerns about any of the surveys that you have completed today? If you have none, please write, ""i have completed this survey""","{""ImportId"":""QID84_TEXT""}"
affiliation,affiliation,"{""ImportId"":""affiliation""}"
response_bias_sum,Sum of all Bias Dummy Variables,ADDED
school_coded,Cleaned Names of Schools Attended,ADDED
